id,username,password_hash,is_admin,created_at
1,admin,$2b$12$YXb65TN1tMOFdZvUfYq/5ecBATuQc2E7vO//lodtUjMtoANsMotm2,1,2026-04-17 12:08:13
2,testuser_e2e,c4e6d990806e297d6dceeafd54a8a8b5:3320ef4c9a21d243b76e69270f7eed0e9857866493083a341a77c2737fc9da06,0,2026-04-17 14:36:42
3,alice_ui_test,663a66a04e59edb897276c6a04124d13:ae07753e95c60390cbe8c3cd4594c5f0354b7c562d6aeb6a69ab176cd08f5fd8,0,2026-04-17 14:59:43
4,hhh,ed7601732ae63038d1cfd1861a9678e9:aabfab5cae81845cee3a2f5ff9370c9a7ee0c936479577716b776d355b030a4a,0,2026-04-17 15:05:03
5,proxy_test,a5d3dce8c1011f4a66fbb90aac24d821:30881abba8a4fc5fd75aecf0f3db6c47666bfa96b14c4188a4495f54d6a7e72f,0,2026-04-17 15:07:31
6,proxy_probe,a6b26bf22ea4f5e5b88137904ec6d2e5:cab76dd7411801a90812018bc65eb649fc635a9765e349ab5ade1adc00f077c0,0,2026-04-17 15:44:21
7,backend_probe,39c7149dfd63b12a3ab95f1c84d78756:92c7af3cc4472fa4eecf01648829d083e77a06a31c1e06bc0437ecb6630cdd0d,0,2026-04-17 15:44:21
8,probe_backend,aec56ddec6012325bd9a4747444696b2:461469ee8f66efb3fd60563622566e62dd6480f5c30315f935780ca7d2b13d75,0,2026-04-17 15:44:54
9,111,8a0f7074344bbad1f6de607e9178d75c:25c6a977f577507db70ca8f6d40345f8d69dd13568d5b71db8877903464c6948,0,2026-04-17 16:43:34
10,testuser,6f7304bfe42650cf1d9cef8544540eed:0c9110b728f472e2b6d12723a71817f0508d39a51c93213c471ca7acafeb1352,0,2026-04-17 17:37:21
11,333,$2b$12$sj4IteKgeXPlulFOtysLP.UmawZ7yNETcL3JzPs6GjsrcJSpah1qm,1,2026-04-18 22:05:43
12,444,$2b$12$/Kj8JfeTvrKlxN6qUME8yOxxDPk3gtA98qMBcUTIcem/h/oebQOsu,1,2026-04-18 22:32:58
14,123,$2b$12$lHLI7tPRScTNGWT1jwnxCuJkMp7EUbUsid3RBPUqUwJ4/zUZpHuOC,0,2026-04-20 11:16:06
